,,1/19,2/19,3/19,4/19,5/19,6/19,7/19,8/19,9/19,10/19,11/19,12/19,1/20,2/20,3/20,4/20,5/20,6/20,7/20,8/20,9/20,10/20,11/20,12/20,1/21,2/21,3/21
Port Name,Measure,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March
Progreso,Pedestrians,"102,352","112,896","133,671","88,010","88,643","76,557","87,460","84,735","78,225","79,094","96,395","112,082","121,421","130,881","88,819","17,496","44,124","37,141","31,827","37,565","48,499","59,582","62,326","64,481","74,896","61,125","101,512"
Progreso,Personal Vehicle Passengers,"246,217","231,180","259,042","187,558","196,688","194,503","225,930","230,407","222,116","235,837","243,906","250,373","218,195","214,642","179,080","72,927","126,758","113,848","81,664","105,586","109,634","123,234","131,232","135,584","136,306","118,326","169,167"
Progreso,Personal Vehicles,"112,563","105,602","116,842","88,185","93,695","90,976","102,348","106,601","104,511","111,724","111,000","111,983","101,514","100,329","88,868","48,903","80,577","72,240","48,837","58,796","59,587","65,615","68,595","70,963","70,098","61,390","83,638"
Progreso,Truck Containers Empty,"2,405","1,929","1,808","1,720","2,176","2,524","3,432","3,163","2,896","3,107","2,448","2,215","2,425","2,055","1,584","1,465","2,380","2,296","2,857","2,751","2,683","2,881","2,471","2,367","2,335","2,056","2,222"
Progreso,Truck Containers Loaded,"2,592","2,819","4,064","2,938","2,587","2,173","1,944","2,605","2,317","3,010","2,717","2,769","3,314","3,228","4,609","2,553","1,741","1,919","1,883","1,396","1,732","2,115","1,772","2,231","2,632","2,542","3,992"
Progreso,Trucks,"4,608","4,390","5,198","4,025","4,266","4,094","4,857","5,080","4,526","5,207","4,396","4,153","5,074","4,559","5,298","3,580","3,824","3,898","4,509","4,083","4,347","4,812","4,165","4,360","4,624","4,311","5,661"
Rio Grande City,Pedestrians,"2,807","6,376","4,762","2,530","2,547","4,661","6,691","7,004","6,619","7,282","8,315","10,043","8,384","8,199","5,169","1,044","1,109","1,023","1,045","1,038","1,077","1,447","2,998","6,023","3,627","1,977",
Rio Grande City,Personal Vehicle Passengers,"71,543","70,541","79,235","67,834","63,612","60,458","62,505","58,478","64,782","67,985","70,651","81,471","68,123","66,246","56,659","23,683","40,834","34,172","31,764","35,565","27,802","31,712","38,885","40,548","40,466","34,940","44,330"
Rio Grande City,Personal Vehicles,"35,776","35,946","40,510","36,133","34,831","32,477","32,810","31,098","32,571","33,604","34,250","38,690","33,126","32,768","28,921","14,890","23,964","21,259","20,131","21,757","17,136","19,270","22,684","23,853","23,266","20,315","25,282"
Rio Grande City,Truck Containers Empty,713,694,814,821,908,697,810,851,776,887,695,599,724,741,745,708,755,843,906,839,774,945,881,890,806,854,"1,116"
